project-id,recipient-country-details,donor-details,project-title,sector,project-start,project-end,project-category,project-subcategory,total-budget($),total-expenditure($),DataID,ModifyDate,FileName,category,type,id,name,last_modified,file_name,url,mime_type
180267,"[{'recipient-country-code': 'RW', 'recipient-country': 'Rwanda', 'ldc-indicator': 'X', 'region': 'AFRICA'}]","[{'donor': 'GEF - Global Environment Facility', 'donor-type': 'Global Environment Facility (GEF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",Minamata Convention: Initial assessment for Rwanda,nan,1/1/2019,6/30/2024,Safeguarding the Environ., Implementation of MEA,200000.00,188357.87,14240930,2019-05-22T12:55:46+0000,Rwanda MIA _Final project document.pdf,projectDocument,document,14240930,Rwanda MIA _Final project document.pdf,2019-05-22T12:55:46+0000,Rwanda MIA _Final project document.pdf,https://downloads.unido.org/ot/14/24/14240930/Rwanda MIA _Final project document.pdf,application/pdf
210120,"[{'recipient-country-code': 'BR', 'recipient-country': 'Brazil', 'ldc-indicator': '-', 'region': 'THE AMERICAS'}]","[{'donor': 'Brazil - Pernambuco State Government', 'donor-type': 'Member States', 'donor-country-code': 'BR', 'donor-country': 'Brazil'}]","Addressing the energy, water, food and climate nexus through organic waste to energy solutions in the Metropolitan Region of Recife",nan,9/1/2021,9/1/2025,Safeguarding the Environ., Clean energy access,35941.40,35941.40,30427649,2023-05-08T03:10:36+0000,SSS Brazil final.pdf,projectDocument,document,30427649,SSS Brazil final.pdf,2023-05-08T03:10:36+0000,SSS Brazil final.pdf,https://downloads.unido.org/ot/30/42/30427649/SSS Brazil final.pdf,application/pdf
200330,"[{'recipient-country-code': 'SD', 'recipient-country': 'Sudan', 'ldc-indicator': 'X', 'region': 'AFRICAN ARAB STATES'}]","[{'donor': 'Montreal Protocol', 'donor-type': 'Montreal Protocol (MLF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",HCFC phase-out management plan (stage III),Biosphere protection,12/16/2020,12/31/2024,Safeguarding the Environ., Implementation of MEA,159659.36,33403.05,19699102,2022-01-06T12:16:51+0000,Sudan - Preparation for HPMP Stage III - project concept.pdf,projectDocument,document,19699102,1. Sudan - Preparation for HPMP Stage III - project concept.pdf,2022-01-06T12:16:51+0000,Sudan - Preparation for HPMP Stage III - project concept.pdf,https://downloads.unido.org/ot/19/69/19699102/Sudan - Preparation for HPMP Stage III - project concept.pdf,application/pdf
200330,"[{'recipient-country-code': 'SD', 'recipient-country': 'Sudan', 'ldc-indicator': 'X', 'region': 'AFRICAN ARAB STATES'}]","[{'donor': 'Montreal Protocol', 'donor-type': 'Montreal Protocol (MLF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",HCFC phase-out management plan (stage III),Biosphere protection,12/16/2020,12/31/2024,Safeguarding the Environ., Implementation of MEA,159659.36,33403.05,24377613,2022-01-06T15:38:02+0000,"Sudan – HPMP Stage III, first tranche – project document.pdf",projectDocument,document,24377613,"Sudan – HPMP Stage III, first tranche – project document.pdf",2022-01-06T15:38:02+0000,"Sudan – HPMP Stage III, first tranche – project document.pdf","https://downloads.unido.org/ot/24/37/24377613/Sudan – HPMP Stage III, first tranche – project document.pdf",application/pdf
120221,"[{'recipient-country-code': 'DZ', 'recipient-country': 'Algeria', 'ldc-indicator': '-', 'region': 'AFRICAN ARAB STATES'}]","[{'donor': 'Montreal Protocol', 'donor-type': 'Montreal Protocol (MLF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]","HCFC phase-out management plan (stage I, first tranche) (conversion from HCFC-22 in the manufacture of room air conditioners at Condor)",Biosphere protection,4/23/2012,12/31/2024,Safeguarding the Environ., Implementation of MEA,1379460.00,881337.13,3260482,2021-02-26T11:08:50+0000,PRODOC ALGERIA HPMP Stage I_First Tranche_66th ExCom.pdf,projectDocument,document,3260482,"Algeria - HPMP Stage I, first tranche - project document",2021-02-26T11:08:50+0000,PRODOC ALGERIA HPMP Stage I_First Tranche_66th ExCom.pdf,https://downloads.unido.org/ot/32/60/3260482/PRODOC ALGERIA HPMP Stage I_First Tranche_66th ExCom.pdf,application/pdf
180268,"[{'recipient-country-code': 'RW', 'recipient-country': 'Rwanda', 'ldc-indicator': 'X', 'region': 'AFRICA'}]","[{'donor': 'GEF - Global Environment Facility', 'donor-type': 'Global Environment Facility (GEF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",National action plan on mercury in the artisanal and small-scale gold mining sector in Rwanda,nan,1/1/2019,6/30/2024,Safeguarding the Environ., Implementation of MEA,500000.00,461851.87,14239324,2019-05-22T12:58:43+0000,Rwanda NAP_Final project document.pdf,projectDocument,document,14239324,Rwanda NAP_Final project document.pdf,2019-05-22T12:58:43+0000,Rwanda NAP_Final project document.pdf,https://downloads.unido.org/ot/14/23/14239324/Rwanda NAP_Final project document.pdf,application/pdf
160278,"[{'recipient-country-code': 'TN', 'recipient-country': 'Tunisia', 'ldc-indicator': '-', 'region': 'AFRICAN ARAB STATES'}]","[{'donor': 'Montreal Protocol', 'donor-type': 'Montreal Protocol (MLF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]","HCFC phase-out management plan (state II, first tranche) (foam sector)",Industrial policy and administrative management,12/1/2016,12/31/2026,Safeguarding the Environ., Implementation of MEA,484558.64,483491.81,14363196,2019-06-06T10:17:16+0000,7730_TUN_PRP_HPMP_StageII_project_concept.pdf,projectDocument,document,14363196,7730_TUN_PRP_HPMP_StageII_project_concept.pdf,2019-06-06T10:17:16+0000,7730_TUN_PRP_HPMP_StageII_project_concept.pdf,https://downloads.unido.org/ot/14/36/14363196/7730_TUN_PRP_HPMP_StageII_project_concept.pdf,application/pdf
160278,"[{'recipient-country-code': 'TN', 'recipient-country': 'Tunisia', 'ldc-indicator': '-', 'region': 'AFRICAN ARAB STATES'}]","[{'donor': 'Montreal Protocol', 'donor-type': 'Montreal Protocol (MLF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]","HCFC phase-out management plan (state II, first tranche) (foam sector)",Industrial policy and administrative management,12/1/2016,12/31/2026,Safeguarding the Environ., Implementation of MEA,484558.64,483491.81,14363523,2019-06-06T10:17:04+0000,7776ri_ExCom_approval_TUN_preparatory_funding.pdf,projectDocument,document,14363523,7776ri_ExCom_approval_TUN_preparatory_funding.pdf,2019-06-06T10:17:04+0000,7776ri_ExCom_approval_TUN_preparatory_funding.pdf,https://downloads.unido.org/ot/14/36/14363523/7776ri_ExCom_approval_TUN_preparatory_funding.pdf,application/pdf
160278,"[{'recipient-country-code': 'TN', 'recipient-country': 'Tunisia', 'ldc-indicator': '-', 'region': 'AFRICAN ARAB STATES'}]","[{'donor': 'Montreal Protocol', 'donor-type': 'Montreal Protocol (MLF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]","HCFC phase-out management plan (state II, first tranche) (foam sector)",Industrial policy and administrative management,12/1/2016,12/31/2026,Safeguarding the Environ., Implementation of MEA,484558.64,483491.81,17307088,2020-06-01T13:12:47+0000,HPMP Stage II _ Tunisia _foam and refrigeration servicing sector.pdf,projectDocument,document,17307088,HPMP Stage II _ Tunisia _foam and refrigeration servicing sector.pdf,2020-06-01T13:12:47+0000,HPMP Stage II _ Tunisia _foam and refrigeration servicing sector.pdf,https://downloads.unido.org/ot/17/30/17307088/HPMP Stage II _ Tunisia _foam and refrigeration servicing sector.pdf,application/pdf
190025,"[{'recipient-country-code': 'UA', 'recipient-country': 'Ukraine', 'ldc-indicator': '-', 'region': 'EUROPE'}]","[{'donor': 'GEF - Global Environment Facility', 'donor-type': 'Global Environment Facility (GEF)', 'donor-country-code': 'nan', 'donor-country': 'nan'}]",Low-carbon economy of Ukraine for climate change prevention: Facilitating investment to scale up innovative cleantech solutions for low-carbon economy and climate action,"Energy generation, renewable sources - multiple technologies",1/1/2020,12/16/2026,Safeguarding the Environ., Clean energy access,1357308.43,49808.43,24592697,2022-01-13T12:52:55+0000,GCIP 2 Ukraine RCE_072621.pdf,projectDocument,document,24592697,GCIP 2 Ukraine RCE_072621.pdf,2022-01-13T12:52:55+0000,GCIP 2 Ukraine RCE_072621.pdf,https://downloads.unido.org/ot/24/59/24592697/GCIP 2 Ukraine RCE_072621.pdf,application/pdf
