,project-id,project-title,sector,project-category,project-subcategory,total-budget($),total-expenditure($),DataID,FileName,id,name,file_name,url,mime_type
0,180267,Minamata Convention: Initial assessment for Rwanda,nan,Safeguarding the Environ., Implementation of MEA,200000.00,188357.87,14240930,Rwanda MIA _Final project document.pdf,14240930,Rwanda MIA _Final project document.pdf,Rwanda MIA _Final project document.pdf,https://downloads.unido.org/ot/14/24/14240930/Rwanda MIA _Final project document.pdf,application/pdf
1,210120,"Addressing the energy, water, food and climate nexus through organic waste to energy solutions in the Metropolitan Region of Recife",nan,Safeguarding the Environ., Clean energy access,35941.40,35941.40,30427649,SSS Brazil final.pdf,30427649,SSS Brazil final.pdf,SSS Brazil final.pdf,https://downloads.unido.org/ot/30/42/30427649/SSS Brazil final.pdf,application/pdf
4,120221,"HCFC phase-out management plan (stage I, first tranche) (conversion from HCFC-22 in the manufacture of room air conditioners at Condor)",Biosphere protection,Safeguarding the Environ., Implementation of MEA,1379460.00,881337.13,3260482,PRODOC ALGERIA HPMP Stage I_First Tranche_66th ExCom.pdf,3260482,"Algeria - HPMP Stage I, first tranche - project document",PRODOC ALGERIA HPMP Stage I_First Tranche_66th ExCom.pdf,https://downloads.unido.org/ot/32/60/3260482/PRODOC ALGERIA HPMP Stage I_First Tranche_66th ExCom.pdf,application/pdf
5,180268,National action plan on mercury in the artisanal and small-scale gold mining sector in Rwanda,nan,Safeguarding the Environ., Implementation of MEA,500000.00,461851.87,14239324,Rwanda NAP_Final project document.pdf,14239324,Rwanda NAP_Final project document.pdf,Rwanda NAP_Final project document.pdf,https://downloads.unido.org/ot/14/23/14239324/Rwanda NAP_Final project document.pdf,application/pdf
9,190025,Low-carbon economy of Ukraine for climate change prevention: Facilitating investment to scale up innovative cleantech solutions for low-carbon economy and climate action,"Energy generation, renewable sources - multiple technologies",Safeguarding the Environ., Clean energy access,1357308.43,49808.43,24592697,GCIP 2 Ukraine RCE_072621.pdf,24592697,GCIP 2 Ukraine RCE_072621.pdf,GCIP 2 Ukraine RCE_072621.pdf,https://downloads.unido.org/ot/24/59/24592697/GCIP 2 Ukraine RCE_072621.pdf,application/pdf
28,190115,Promoting and upscaling innovative SMEs in the Islamic Republic of Iran,Small and medium-sized enterprises (SME) development,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,1793668.16,433805.36,17221942,190115_ProDoc_PromotingUpscalingInnovativeSMEs12052020.PDF,17221942,190115_ProDoc_PromotingUpscalingInnovativeSMEs12052020.PDF,190115_ProDoc_PromotingUpscalingInnovativeSMEs12052020.PDF,https://downloads.unido.org/ot/17/22/17221942/190115_ProDoc_PromotingUpscalingInnovativeSMEs12052020.PDF,application/pdf
29,230007,Open Source Technology Repository for AI for Industry and Manufacturing,Industrial development,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,22177.58,3521.22,33154169,230007_Global_SSS_Open_Source_Tech_Repository_for_AI.pdf,33154169,Project Document,230007_Global_SSS_Open_Source_Tech_Repository_for_AI.pdf,https://downloads.unido.org/ot/33/15/33154169/230007_Global_SSS_Open_Source_Tech_Repository_for_AI.pdf,application/pdf
30,200174,HCFC Phase-Out Management Plan (Stage II),Biosphere protection,Safeguarding the Environ., Implementation of MEA,10000.00,10038.69,17638069,Project document Burundi HPMP stage II PRP .docx,17638069,Project document Burundi HPMP stage II PRP .docx,Project document Burundi HPMP stage II PRP .docx,https://downloads.unido.org/ot/17/63/17638069/Project document Burundi HPMP stage II PRP .docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
31,200084,The Egyptian cotton project # Phase II,"Textiles, leather and substitutes",CreatingShared Prosperity, Agri. Busin. & Rural Dev.,1444705.50,8365.09,31538919,Project Document and Agreement 200084.pdf,31538919,Project Document and Agreement 200084.pdf,Project Document and Agreement 200084.pdf,https://downloads.unido.org/ot/31/53/31538919/Project Document and Agreement 200084.pdf,application/pdf
32,190344,Piloting innovative financing for climate adaptation technologies in medium-sized cities,nan,Safeguarding the Environ., RECP & LowCarbonPrd,725078.14,48078.14,30313669,10433_CEO_Global_UNIDO_10Mar22.pdf,30313669,10433_CEO_Global_UNIDO_10Mar22.pdf,10433_CEO_Global_UNIDO_10Mar22.pdf,https://downloads.unido.org/ot/30/31/30313669/10433_CEO_Global_UNIDO_10Mar22.pdf,application/pdf
